model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,12,34.222500000000004,34.026666666666664,24.889999999999997,4.555833333333333,5.528333333333333,7.388333333333333,4.528333333333333,34.083333333333336,25.64,29.861666666666668
grok-4-0709,xAI,High-Sophistication,12,36.02916666666667,37.026666666666664,25.915833333333328,4.25,4.445,8.609166666666665,3.501666666666667,39.75083333333334,29.138333333333335,34.44458333333334
claude-4.5-sonnet,Anthropic,High-Sophistication,12,30.0825,33.112500000000004,21.444999999999997,5.3066666666666675,6.389166666666667,8.165833333333333,4.084166666666667,36.472500000000004,28.50166666666667,32.48708333333334
gpt-5,OpenAI,High-Sophistication,12,27.278333333333336,36.80583333333333,18.613333333333333,4.6933333333333325,5.2775,8.2775,3.89,41.38916666666666,32.0,36.69458333333333
deepseek-r1,DeepSeek,High-Sophistication,12,26.250000000000004,41.63833333333333,19.668333333333333,4.168333333333334,4.694166666666666,8.249166666666666,3.334166666666667,37.61166666666667,24.25,30.930833333333336
nova-pro,AWS,Low-Sophistication,12,27.02666666666666,42.223333333333336,21.5275,3.6125000000000007,3.5575000000000006,7.139166666666667,3.0283333333333338,32.222500000000004,19.7775,26.0
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,12,25.527500000000003,40.39,22.75,4.001666666666668,3.6683333333333334,6.389166666666667,3.0,28.583333333333332,18.971666666666664,23.777499999999996
claude-3.5-haiku,Anthropic,Low-Sophistication,12,26.917500000000004,38.19333333333333,24.4175,3.7800000000000007,3.945833333333334,7.2775,3.585000000000001,23.804999999999996,18.7225,21.263749999999998
claude-4.5-haiku,Anthropic,High-Sophistication,12,28.555833333333336,31.83333333333333,22.138333333333335,5.8066666666666675,7.334166666666667,7.695,4.610833333333334,38.611666666666665,31.02666666666666,34.81916666666666
grok-3,xAI,High-Sophistication,12,33.916666666666664,38.0,25.971666666666664,3.945833333333334,4.111666666666667,8.221666666666666,3.0275,39.85999999999999,28.110833333333336,33.985416666666666
