model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
us-deepseek-r1-v1_0,DeepSeek,High-Sophistication,44,5.9166,7.9168,4.0302,1.2193,1.4764,1.9484,1.0605,7.1207,5.2575,6.1891
gpt-3-5-turbo,OpenAI,Unknown,44,5.7048,7.3323,4.3634,1.1966,1.3095,1.5375,1.0152,4.5989,3.47,4.0344500000000005
grok-4-0709,xAI,High-Sophistication,44,6.9927,6.6291,4.5914,1.363,1.5677,2.0839,1.2118,7.1825,5.8791,6.5308
gpt-5,OpenAI,High-Sophistication,44,6.0223,6.4852,3.6061,1.2798,1.4164,1.7948,1.0757,7.6289,6.2959,6.9624
us-anthropic-claude-3-7-sonnet-20250219-v1_0,Anthropic,High-Sophistication,44,6.0002,7.137,4.357,1.1664,1.3473,1.6432,1.0,5.8789,4.53,5.20445
openai-gpt-oss-120b-1_0,OpenAI,High-Sophistication,44,6.4659,7.6705,3.8027,1.2189,1.2939,2.0127,1.0377,7.8255,6.2998,7.06265
us-anthropic-claude-opus-4-1-20250805-v1_0,Anthropic,High-Sophistication,88,6.2495,6.4849,3.8517,1.2722,1.5786,1.6318,1.0606,6.5793,5.3392,5.95925
us-anthropic-claude-3-5-sonnet-20241022-v2_0,Anthropic,High-Sophistication,44,5.788,7.145,4.1436,1.2118,1.3475,1.5902,1.015,5.4241,4.1516,4.787850000000001
us-meta-llama3-1-70b-instruct-v1_0,Meta,High-Sophistication,44,6.5295,7.1807,4.4011,1.1664,1.3016,1.7736,1.015,5.8932,4.3864,5.1398
grok-3,xAI,High-Sophistication,44,6.5686,7.4175,4.2961,1.1961,1.2495,1.925,1.0455,7.25,5.3702,6.3101
us-anthropic-claude-3-5-haiku-20241022-v1_0,Anthropic,High-Sophistication,44,5.4766,7.0457,4.2345,1.2498,1.317,1.5373,1.0075,5.2352,3.9245,4.57985
us-amazon-nova-lite-v1_0,AWS,High-Sophistication,44,5.9691,7.947,4.2805,1.0755,1.1805,1.6595,1.0075,5.8936,4.2043,5.04895
gpt-4,OpenAI,Low-Sophistication,44,5.4925,7.3789,4.5375,1.1589,1.2791,1.6434,1.0227,5.1284,3.6743,4.40135
gpt-5-1,OpenAI,Low-Sophistication,44,6.3559,6.273,3.6441,1.363,1.5595,1.8182,1.1364,7.6977,6.583,7.14035
us-anthropic-claude-3-haiku-20240307-v1_0,Anthropic,High-Sophistication,44,5.9166,7.31,4.4164,1.1586,1.2482,1.6811,1.0227,5.4918,3.9393,4.7155499999999995
us-meta-llama4-scout-17b-instruct-v1_0,Meta,High-Sophistication,44,6.2114,7.3786,4.5834,1.2045,1.2116,1.6893,1.0075,6.0384,4.5157,5.27705
