model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,308,5.940324675324674,6.748798701298699,4.912045454545456,1.9314285714285737,1.985487012987014,2.1620129870129867,1.2662662337662338,6.997889610389609,6.149448051948053,6.573668831168831
grok-4-0709,xAI,High-Sophistication,308,6.659740259740256,6.858149350649349,5.097402597402602,1.6596103896103873,1.750519480519479,2.297110389610389,1.3190909090909082,7.092564935064939,5.8746103896103925,6.483587662337666
claude-4.5-sonnet,Anthropic,High-Sophistication,308,5.6627597402597365,6.443181818181821,4.483084415584416,2.108863636363638,2.380584415584417,2.196266233766234,1.3115259740259737,7.407240259740258,6.673896103896107,7.040568181818182
gpt-5,OpenAI,High-Sophistication,308,5.481753246753244,6.929188311688311,4.006233766233766,1.605811688311686,1.6589935064935046,2.167532467532466,1.1664935064935067,7.871948051948058,6.5020129870129875,7.186980519480523
llama-3.3-70b,Meta,Low-Sophistication,257,5.70727626459144,7.782490272373535,5.346070038910504,1.3712840466926066,1.391322957198443,1.951439688715953,1.104863813229572,5.641322957198442,4.1854085603112825,4.913365758754862
deepseek-r1,DeepSeek,High-Sophistication,308,5.104870129870132,7.814025974025974,4.170681818181818,2.1770129870129895,2.035194805194805,2.8228571428571394,1.466168831168831,7.126915584415584,5.672142857142859,6.399529220779222
nova-pro,AWS,Low-Sophistication,308,5.601493506493505,8.055324675324675,4.456558441558442,1.2624025974025972,1.282272727272726,1.9309415584415566,1.0983766233766232,5.887337662337663,4.157954545454544,5.022646103896104
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,308,5.628441558441552,7.703279220779221,5.5831168831168805,1.2808766233766231,1.3289935064935052,1.774025974025973,1.0388636363636363,5.346038961038957,4.104448051948053,4.725243506493505
claude-3.5-haiku,Anthropic,Low-Sophistication,308,5.697662337662334,7.422142857142862,4.447922077922077,1.3048701298701288,1.3730844155844142,1.9351623376623357,1.0691558441558442,5.51211038961039,4.332564935064938,4.9223376623376645
claude-4.5-haiku,Anthropic,High-Sophistication,308,5.687045454545457,6.170941558441557,4.985974025974027,2.316655844155846,2.4576948051948064,2.2628246753246755,1.2411688311688318,7.631006493506496,7.121168831168831,7.376087662337664
grok-3,xAI,High-Sophistication,308,6.22905844155844,7.554545454545461,4.975064935064932,1.532889610389609,1.4877272727272721,2.3953246753246735,1.2032792207792202,6.974090909090909,5.41327922077922,6.193685064935064
gpt-4,OpenAI,Low-Sophistication,308,5.437207792207792,7.536850649350651,5.14814935064935,1.196428571428571,1.292045454545453,1.8309090909090893,1.0508116883116885,5.295454545454545,3.8593181818181828,4.577386363636364
llama-4-scout-17b,Meta,Low-Sophistication,308,5.752759740259738,7.657662337662336,5.029188311688313,1.3837987012987,1.3453571428571416,2.091525974025971,1.0962337662337662,5.7983116883116885,4.3846753246753245,5.0914935064935065
llama-3.2-90b,Meta,Low-Sophistication,308,5.757142857142858,7.74987012987013,5.181655844155842,1.3328246753246737,1.3529220779220763,2.010032467532464,1.0811363636363638,5.653376623376623,4.1200974025974,4.886737012987012
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,308,5.323019480519478,5.707629870129872,4.4456168831168785,1.802337662337663,2.0100324675324686,1.9852272727272717,1.1883116883116887,6.608019480519477,6.063863636363637,6.335941558441557
nova-premier,AWS,Low-Sophistication,308,5.303798701298699,7.869090909090906,4.6018181818181825,1.3773376623376612,1.3600324675324662,1.9652272727272686,1.1070454545454547,5.667922077922076,4.119058441558442,4.893490259740259
