model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,51,5.222156862745097,7.463725490196077,8.483137254901962,1.6337254901960783,2.0394117647058825,2.215686274509804,1.222156862745098,7.313529411764702,7.215490196078432,7.264509803921567
grok-4-0709,xAI,High-Sophistication,51,6.73862745098039,7.777647058823531,7.99941176470588,1.4311764705882353,1.6994117647058822,2.5227450980392154,1.1437254901960785,7.824117647058823,6.41843137254902,7.121274509803921
claude-4.5-sonnet,Anthropic,High-Sophistication,51,5.401764705882352,6.950196078431371,7.9833333333333325,2.0258823529411765,2.8170588235294125,2.402156862745098,1.3392156862745095,8.078235294117647,7.715882352941177,7.897058823529412
gpt-5,OpenAI,High-Sophistication,51,5.3945098039215695,7.362745098039217,6.6894117647058815,1.5515686274509801,1.8001960784313724,2.3298039215686273,1.1694117647058822,8.454117647058823,6.970588235294118,7.71235294117647
llama-3.3-70b,Meta,Low-Sophistication,51,5.685686274509805,8.313137254901958,8.228823529411764,1.2415686274509803,1.2676470588235293,2.0529411764705885,1.0,6.156470588235293,4.634313725490196,5.395392156862744
deepseek-r1,DeepSeek,High-Sophistication,51,4.6462745098039235,8.608235294117648,6.267647058823529,1.7574509803921567,1.725294117647059,2.5945098039215684,1.2284313725490195,7.96705882352941,5.967058823529412,6.9670588235294115
nova-pro,AWS,Low-Sophistication,51,5.39843137254902,8.660588235294117,5.9929411764705875,1.2474509803921565,1.266862745098039,2.2615686274509805,1.15,7.110980392156866,4.895098039215685,6.003039215686275
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,51,6.019411764705882,8.181960784313723,8.63313725490196,1.0780392156862744,1.2282352941176469,1.8962745098039218,1.0131372549019608,5.829803921568629,4.817058823529412,5.32343137254902
claude-3.5-haiku,Anthropic,Low-Sophistication,51,5.633921568627452,7.765098039215687,5.483137254901963,1.3329411764705883,1.3382352941176465,2.1901960784313728,1.0,6.294705882352941,4.96078431372549,5.627745098039216
claude-4.5-haiku,Anthropic,High-Sophistication,51,5.561960784313727,6.418235294117647,8.059607843137256,1.9011764705882352,2.620980392156863,2.3201960784313727,1.1105882352941174,8.07156862745098,7.928039215686274,7.999803921568627
