# COMPREHENSIVE MODEL & PROVIDER ANALYSIS
**Generated:** 2026-01-21 13:01:31

================================================================================

## OVERALL STATISTICS

**Total Models:** 45
**High-Sophistication:** 23
**Low-Sophistication:** 22

### Models by Provider:

- **Anthropic**: 19 models
- **OpenAI**: 9 models
- **Meta**: 5 models
- **AWS**: 3 models
- **Google**: 3 models
- **xAI**: 2 models
- **Mistral**: 2 models
- **DeepSeek**: 1 models
- **Alibaba**: 1 models

### Overall Dimension Means:

| Dimension | Mean | Std |
|-----------|------|-----|
| Sophistication | 5.47 | 1.04 |
| Warmth | 6.38 | 0.30 |
| Formality | 6.93 | 0.48 |
| Hedging | 4.62 | 0.39 |
| Aggression | 1.25 | 0.12 |
| Transgression | 1.44 | 0.19 |
| Grandiosity | 1.70 | 0.10 |
| Tribalism | 1.07 | 0.04 |
| Depth | 6.05 | 1.03 |
| Authenticity | 4.90 | 1.07 |

================================================================================

## SOPHISTICATION → DISINHIBITION CORRELATIONS

### Overall (All Models)

| Dimension | r |
|-----------|---|
| Transgression | +0.784 |
| Aggression | +0.814 |
| Tribalism | +0.486 |
| Grandiosity | +0.544 |

### By Provider

**AWS:**

| Dimension | r |
|-----------|---|
| Transgression | -0.999 |
| Aggression | -0.293 |
| Tribalism | +0.336 |
| Grandiosity | +0.874 |

**Anthropic:**

| Dimension | r |
|-----------|---|
| Transgression | +0.945 |
| Aggression | +0.895 |
| Tribalism | +0.584 |
| Grandiosity | +0.167 |

**Google:**

| Dimension | r |
|-----------|---|
| Transgression | -0.263 |
| Aggression | -0.964 |
| Tribalism | -0.999 |
| Grandiosity | +0.871 |

**Meta:**

| Dimension | r |
|-----------|---|
| Transgression | +0.209 |
| Aggression | +0.442 |
| Tribalism | +0.459 |
| Grandiosity | +0.411 |

**OpenAI:**

| Dimension | r |
|-----------|---|
| Transgression | +0.895 |
| Aggression | +0.752 |
| Tribalism | +0.286 |
| Grandiosity | +0.881 |

