model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,35,6.733142857142858,6.42857142857143,5.151999999999999,1.1997142857142855,1.5517142857142854,1.6854285714285715,1.0854285714285712,6.647714285714287,5.552857142857142,6.1002857142857145
grok-4-0709,xAI,High-Sophistication,35,7.018857142857142,6.714285714285715,5.113714285714285,1.1045714285714288,1.3897142857142855,1.9248571428571435,1.1145714285714288,6.190857142857141,5.076571428571428,5.633714285714284
claude-4.5-sonnet,Anthropic,High-Sophistication,35,6.303714285714289,6.238571428571429,4.5045714285714284,1.3519999999999999,1.7522857142857147,1.6568571428571428,1.1714285714285715,6.886,5.943142857142858,6.4145714285714295
gpt-5,OpenAI,High-Sophistication,35,6.0285714285714285,6.524571428571428,3.7434285714285718,1.19,1.4177142857142853,1.8568571428571428,1.0762857142857143,7.418857142857144,6.247714285714284,6.833285714285714
llama-3.3-70b,Meta,Low-Sophistication,35,6.41857142857143,7.247714285714285,5.418285714285717,1.1237142857142859,1.2739999999999996,1.5991428571428568,1.0191428571428571,5.0288571428571425,3.7234285714285713,4.376142857142857
deepseek-r1,DeepSeek,High-Sophistication,35,6.381142857142856,7.209428571428572,4.772285714285713,1.1608571428571426,1.4177142857142853,1.7717142857142854,1.0282857142857142,6.57142857142857,5.248571428571427,5.909999999999998
nova-pro,AWS,Low-Sophistication,35,6.409714285714287,7.5428571428571445,4.705142857142857,1.0757142857142856,1.2837142857142851,1.5331428571428571,1.0191428571428571,4.637142857142858,3.5525714285714285,4.094857142857143
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,35,6.3417142857142865,7.142285714285714,5.323714285714286,1.1328571428571426,1.245714285714285,1.5328571428571427,1.0,4.637714285714287,3.667142857142857,4.152428571428572
claude-3.5-haiku,Anthropic,Low-Sophistication,35,6.647142857142858,7.20857142857143,4.5048571428571424,1.0757142857142856,1.2839999999999994,1.7139999999999997,1.0857142857142856,5.438571428571429,4.295428571428572,4.867000000000001
claude-4.5-haiku,Anthropic,High-Sophistication,35,6.381142857142857,6.047428571428571,4.970857142857143,1.3517142857142856,1.7805714285714285,1.5997142857142856,1.0951428571428572,7.162571428571426,6.476,6.819285714285713
grok-3,xAI,Low-Sophistication,35,7.170571428571429,6.829142857142856,5.114285714285714,1.0568571428571427,1.246571428571428,1.7342857142857144,1.0191428571428571,5.428000000000002,4.447714285714286,4.937857142857144
