model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,50,6.5928,6.5196000000000005,3.8802000000000008,1.1857999999999997,1.3127999999999997,1.7402000000000002,1.1334,7.166799999999999,5.639400000000002,6.4031
grok-4-0709,xAI,High-Sophistication,50,7.6124,6.899199999999997,4.900399999999999,1.2317999999999996,1.213,1.9944000000000006,1.1461999999999999,7.967199999999999,6.159799999999998,7.063499999999999
claude-4.5-sonnet,Anthropic,High-Sophistication,50,5.986200000000001,6.3006,3.7533999999999987,1.3723999999999996,1.6063999999999998,1.793,1.1665999999999999,7.460399999999998,6.219800000000001,6.8401
gpt-5,OpenAI,High-Sophistication,50,5.593000000000002,6.9928,3.4002,1.3653999999999993,1.3695999999999997,2.104,1.1964,8.4412,6.650400000000001,7.545800000000001
deepseek-r1,DeepSeek,High-Sophistication,50,5.6264,8.060799999999999,3.6666,1.1789999999999994,1.1996,1.9146000000000003,1.1264,7.560200000000001,5.3334,6.4468000000000005
nova-pro,AWS,Low-Sophistication,50,5.8932,8.087000000000002,4.012600000000001,1.1192,1.1657999999999997,1.7678000000000005,1.0997999999999999,6.446800000000001,4.366400000000001,5.406600000000001
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,50,5.392799999999999,7.6263999999999985,4.846599999999999,1.1057999999999997,1.1655999999999995,1.6938000000000002,1.0732,5.8458000000000006,3.9932000000000003,4.9195
claude-3.5-haiku,Anthropic,Low-Sophistication,50,5.899800000000002,7.160600000000001,4.8464,1.1325999999999998,1.1789999999999994,1.8272,1.0397999999999998,5.0332,3.900999999999999,4.467099999999999
claude-4.5-haiku,Anthropic,High-Sophistication,50,5.880200000000002,5.799600000000001,4.1068,1.3789999999999996,1.6865999999999999,1.8202,1.1134,7.680600000000001,6.653,7.1668
grok-3,xAI,High-Sophistication,50,7.2063999999999995,7.313799999999999,4.4928,1.2593999999999996,1.2329999999999999,1.9878000000000002,1.1393999999999997,8.1402,6.253000000000001,7.1966
gpt-4,OpenAI,Low-Sophistication,50,5.346799999999998,7.420200000000001,4.8464,1.1323999999999996,1.2183999999999995,1.5932,1.0734000000000001,5.8398,3.9264000000000006,4.883100000000001
llama-4-scout-17b,Meta,Low-Sophistication,50,6.359399999999997,7.740400000000001,4.546600000000001,1.1391999999999998,1.1127999999999998,1.7746000000000006,1.0934,6.726400000000002,4.659999999999999,5.693200000000001
llama-3.2-90b,Meta,Low-Sophistication,50,6.0664,7.6934,4.6,1.1389999999999996,1.0861999999999998,1.655000000000001,1.0934,6.340000000000001,4.393400000000001,5.366700000000001
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,50,6.7932000000000015,5.646599999999998,5.3264,1.4055999999999997,1.6529999999999998,1.8938000000000001,1.1734,7.739800000000002,6.974,7.356900000000001
nova-premier,AWS,Low-Sophistication,50,5.886399999999998,8.0322,4.453400000000001,1.1191999999999998,1.2123999999999997,1.7814000000000005,1.0863999999999998,6.600200000000002,4.3868,5.493500000000001
nova-lite,AWS,Low-Sophistication,50,5.759799999999999,8.203600000000002,4.226400000000001,1.0825999999999998,1.1621999999999997,1.7448000000000008,1.0766,6.499600000000003,4.2762,5.387900000000002
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,50,6.339799999999998,5.9934,3.8461999999999996,1.3595999999999997,1.4991999999999999,1.8606000000000003,1.1132,7.4002,6.2928,6.8465
gpt-3.5_turbo,OpenAI,Low-Sophistication,50,5.639799999999999,7.5536,4.713,1.1123999999999996,1.2251999999999994,1.6142000000000005,1.0932,4.986999999999999,3.487,4.237
gpt-5.1,OpenAI,High-Sophistication,50,6.276599999999999,6.846799999999997,3.6135999999999986,1.3951999999999996,1.3195999999999999,1.9638000000000002,1.273,8.424000000000001,6.849399999999998,7.636699999999999
gpt-5.2,OpenAI,High-Sophistication,50,5.9664,6.7736,3.7735999999999996,1.3651999999999995,1.4261999999999997,2.0406000000000004,1.2198,8.467400000000001,6.939399999999999,7.7034
gemini-2.0-flash,Google,High-Sophistication,50,6.759200000000001,7.206399999999999,4.6530000000000005,1.2655999999999996,1.0929999999999997,1.8810000000000002,1.1334,7.8876,5.8668,6.8772
llama-4-maverick-17b,Meta,Low-Sophistication,50,5.7462,7.839799999999999,4.459999999999999,1.1253999999999997,1.0997999999999999,1.6948000000000005,1.0666,6.3608,4.380200000000001,5.370500000000001
gemini-2.5-pro,Google,High-Sophistication,50,7.546799999999999,7.027,3.353599999999999,1.3253999999999997,1.3191999999999995,2.1410000000000005,1.2468000000000001,8.567,7.0794,7.8232
