model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,13,7.487692307692308,4.563846153846153,5.820769230769231,1.8707692307692303,2.2823076923076924,1.8192307692307685,1.59,7.666153846153846,7.563846153846153,7.615
grok-4-0709,xAI,High-Sophistication,13,7.025384615384615,5.590769230769231,5.743846153846154,2.1261538461538456,2.332307692307692,2.565384615384616,1.666923076923077,7.283076923076924,6.898461538461539,7.090769230769231
claude-4.5-sonnet,Anthropic,High-Sophistication,13,6.6923076923076925,4.974615384615385,4.896923076923077,2.666153846153846,2.7953846153846156,1.9992307692307694,1.6915384615384617,7.7700000000000005,7.614615384615385,7.6923076923076925
gpt-5,OpenAI,High-Sophistication,13,6.768461538461538,6.513076923076923,4.384615384615385,1.999230769230769,2.103846153846154,2.3323076923076917,1.0769230769230769,8.179230769230768,7.204615384615384,7.691923076923077
llama-3.3-70b,Meta,Low-Sophistication,13,7.436153846153847,7.664615384615384,5.872307692307692,1.4092307692307693,1.2046153846153846,1.8723076923076927,1.1023076923076922,6.204615384615384,4.743846153846154,5.474230769230769
deepseek-r1,DeepSeek,Low-Sophistication,13,7.153076923076923,7.358461538461539,5.204615384615384,2.076153846153846,2.076153846153846,2.5392307692307696,1.5384615384615385,7.332307692307692,6.256923076923077,6.794615384615385
nova-pro,AWS,Low-Sophistication,13,7.127692307692309,7.845384615384616,5.410769230769231,1.3576923076923075,1.2038461538461538,1.9484615384615382,1.3846153846153846,5.795384615384616,4.153846153846154,4.974615384615385
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,13,5.922307692307692,7.717692307692308,5.794615384615384,1.5115384615384615,1.4861538461538462,2.026153846153846,1.0253846153846153,5.076153846153845,3.897692307692308,4.486923076923077
claude-3.5-haiku,Anthropic,Low-Sophistication,13,6.0515384615384615,7.203846153846153,4.641538461538461,1.666153846153846,1.4615384615384615,2.050769230769231,1.0769230769230769,4.974615384615385,4.436153846153847,4.705384615384616
claude-4.5-haiku,Anthropic,High-Sophistication,13,6.462307692307691,5.0,5.076153846153845,2.8723076923076927,3.153076923076923,2.2569230769230773,1.5646153846153845,8.127692307692307,8.025384615384615,8.076538461538462
grok-3,xAI,High-Sophistication,13,7.512307692307692,6.0515384615384615,5.41,1.8969230769230767,2.025384615384615,2.230769230769231,1.435384615384615,7.564615384615385,6.794615384615384,7.179615384615385
gpt-4,OpenAI,Low-Sophistication,13,6.154615384615385,7.383846153846154,5.871538461538462,1.23,1.1523076923076923,1.948461538461539,1.0,4.7700000000000005,3.512307692307693,4.141153846153847
llama-4-scout-17b,Meta,Low-Sophistication,13,7.613846153846153,7.026153846153846,5.872307692307692,1.5123076923076921,1.2546153846153847,2.0769230769230775,1.0507692307692307,5.615384615384615,4.59,5.102692307692307
llama-3.2-90b,Meta,Low-Sophistication,13,7.281538461538461,7.589230769230769,6.101538461538461,1.435384615384615,1.23,2.1030769230769235,1.0515384615384615,5.7700000000000005,4.436153846153847,5.103076923076923
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,13,6.717692307692308,5.411538461538462,6.05076923076923,2.1792307692307693,2.693076923076923,2.129230769230769,1.333076923076923,8.05,8.076923076923077,8.063461538461539
nova-premier,AWS,Low-Sophistication,13,6.794615384615384,7.923846153846155,5.9484615384615385,1.3323076923076924,1.3323076923076924,1.9484615384615382,1.1284615384615384,5.59,4.154615384615385,4.872307692307692
nova-lite,AWS,Low-Sophistication,13,7.359230769230769,7.769230769230769,5.8707692307692305,1.2307692307692308,1.2546153846153847,1.770769230769231,1.333076923076923,5.461538461538462,4.41,4.935769230769231
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,13,6.46076923076923,4.770769230769231,5.462307692307693,2.6415384615384623,3.103846153846154,1.9984615384615383,1.333076923076923,7.821538461538462,7.794615384615384,7.808076923076923
gpt-3.5_turbo,OpenAI,Low-Sophistication,13,6.665384615384616,7.153846153846154,5.334615384615384,1.6407692307692305,1.5876923076923077,1.8969230769230772,1.6923076923076923,4.334615384615384,3.5138461538461536,3.924230769230769
gpt-5.1,OpenAI,High-Sophistication,13,6.793846153846153,6.154615384615385,4.385384615384615,1.9984615384615383,2.3084615384615383,2.2569230769230773,1.5384615384615385,8.512307692307692,7.820769230769231,8.166538461538462
gpt-5.2,OpenAI,High-Sophistication,13,6.538461538461538,6.563846153846153,4.9484615384615385,1.8969230769230767,2.128461538461538,2.2569230769230773,1.1284615384615384,8.48846153846154,7.5138461538461545,8.001153846153848
gemini-2.0-flash,Google,Low-Sophistication,13,7.024615384615384,6.743846153846153,5.741538461538462,1.9476923076923072,1.59,2.3346153846153848,1.306923076923077,7.359230769230769,6.1292307692307695,6.74423076923077
llama-4-maverick-17b,Meta,Low-Sophistication,13,6.973846153846154,7.153846153846154,6.256923076923077,1.3076923076923077,1.306923076923077,1.871538461538462,1.1023076923076922,5.896153846153846,4.462307692307693,5.179230769230769
gemini-2.5-pro,Google,High-Sophistication,13,7.359230769230769,6.385384615384615,3.718461538461539,2.0761538461538462,2.769230769230769,2.718461538461539,1.7176923076923076,8.641538461538461,8.000769230769231,8.321153846153846
claude-4.1-opus-thinking_(thinking),Anthropic,High-Sophistication,13,7.230769230769231,5.076923076923077,5.102307692307692,1.9484615384615382,2.4369230769230774,2.076923076923077,1.4615384615384615,7.563846153846153,7.435384615384615,7.499615384615384
claude-4.5-opus-global,Anthropic,High-Sophistication,13,7.103076923076923,5.641538461538461,5.922307692307692,2.205384615384616,2.769230769230769,2.102307692307692,1.1792307692307693,8.126923076923076,8.025384615384615,8.076153846153845
gpt-oss-120b,OpenAI,High-Sophistication,13,6.973846153846154,7.896923076923077,5.717692307692308,1.4092307692307693,1.4092307692307693,2.077692307692308,1.0,8.102307692307692,6.718461538461539,7.410384615384615
claude-4-opus-thinking_(thinking),Anthropic,High-Sophistication,13,7.384615384615385,4.538461538461538,5.64,2.076153846153846,2.2830769230769237,1.9984615384615383,1.59,7.357692307692307,7.538461538461538,7.448076923076923
claude-4-opus,Anthropic,High-Sophistication,13,7.383846153846154,5.2823076923076915,5.513076923076923,1.8461538461538463,2.281538461538461,1.8199999999999998,1.5638461538461537,7.384615384615385,7.0515384615384615,7.218076923076923
llama-3.1-70b,Meta,Low-Sophistication,13,7.590769230769231,7.154615384615385,6.359230769230769,1.5123076923076921,1.333076923076923,2.1030769230769226,1.256153846153846,6.203846153846153,5.000769230769231,5.602307692307692
claude-4.1-opus,Anthropic,High-Sophistication,13,6.922307692307692,5.026153846153846,5.024615384615384,2.23,2.4630769230769234,1.9476923076923072,1.743846153846154,7.743846153846154,7.667692307692308,7.705769230769231
qwen3-32b,Alibaba,High-Sophistication,13,8.05076923076923,6.410769230769231,5.716923076923076,1.4084615384615387,1.5899999999999996,2.1807692307692315,1.0253846153846153,7.282307692307692,6.46076923076923,6.871538461538462
claude-4.5-haiku-thinking_(thinking),Anthropic,High-Sophistication,13,6.28076923076923,4.846153846153846,5.410769230769231,2.4607692307692304,3.0507692307692307,2.1276923076923073,1.2307692307692308,8.126923076923076,8.052307692307693,8.089615384615385
claude-3.5-sonnet-v2,Anthropic,Low-Sophistication,13,6.41,7.102307692307692,5.410769230769231,1.6923076923076923,1.666923076923077,1.9500000000000002,1.1538461538461537,5.846153846153846,5.563846153846153,5.705
claude-3-opus,Anthropic,Low-Sophistication,13,6.693846153846154,7.384615384615385,5.487692307692308,1.383846153846154,1.2815384615384615,1.871538461538462,1.0,5.282307692307692,4.076153846153845,4.679230769230768
mixtral-8x7b,Mistral,Low-Sophistication,13,6.383846153846154,7.666923076923077,6.461538461538462,1.2046153846153846,1.3061538461538462,1.693846153846154,1.0253846153846153,5.154615384615385,3.666923076923077,4.4107692307692306
o3,OpenAI,High-Sophistication,13,6.897692307692308,6.975384615384616,5.486923076923077,1.7946153846153845,1.6415384615384612,2.0000000000000004,1.23,8.026153846153846,7.153846153846154,7.59
mistral-large-24.02,Mistral,Low-Sophistication,13,6.846153846153846,7.923076923076923,5.999230769230769,1.2815384615384615,1.2038461538461538,1.8461538461538463,1.2053846153846153,5.078461538461539,3.691538461538461,4.385
gpt-4.1,OpenAI,Low-Sophistication,13,7.794615384615384,6.59,6.026923076923078,1.2038461538461538,1.4861538461538462,1.9484615384615382,1.0253846153846153,6.693076923076924,5.743846153846154,6.218461538461539
gemini-3-pro-preview,Google,High-Sophistication,13,5.306923076923076,5.075384615384615,3.2553846153846147,4.486923076923077,4.896153846153846,4.027692307692308,2.6015384615384614,8.411538461538463,8.410769230769231,8.411153846153848
claude-3-sonnet,Anthropic,Low-Sophistication,13,6.6415384615384605,7.2299999999999995,5.898461538461539,1.8707692307692307,1.3323076923076924,2.3838461538461533,1.0253846153846153,5.333846153846154,4.358461538461539,4.846153846153847
claude-3.7-sonnet,Anthropic,Low-Sophistication,13,6.8707692307692305,6.590769230769231,5.769230769230769,1.8199999999999998,1.8199999999999998,1.845384615384615,1.5384615384615385,6.359230769230769,5.256153846153845,5.807692307692307
claude-3-haiku,Anthropic,Low-Sophistication,13,7.435384615384615,7.41,5.614615384615385,1.6153846153846154,1.4607692307692304,2.1276923076923073,1.2053846153846153,5.076153846153845,4.281538461538461,4.678846153846154
gpt-5.2_pro,OpenAI,High-Sophistication,13,6.923076923076923,6.282307692307692,4.872307692307692,1.8199999999999998,2.0015384615384617,2.077692307692308,1.0761538461538462,8.35923076923077,7.462307692307693,7.910769230769231
claude-4-sonnet-thinking_(thinking),Anthropic,High-Sophistication,13,7.283076923076923,4.769230769230769,5.41,1.9230769230769231,2.3338461538461535,1.845384615384615,1.4615384615384615,7.359230769230769,7.512307692307692,7.43576923076923
