Rank,Provider,Model,Score,Size,Context,Cost_Input,Cost_Output,License
87,Google,Gemma 3n E2B Instructed LiteRT (Preview),0.067,2B,,,,
87,Google,Gemma 3n E2B Instructed,0.067,8B,,,,
85,Google,Gemma 3n E4B Instructed LiteRT Preview,0.116,2B,,,,
85,Google,Gemma 3n E4B Instructed,0.116,8B,32K,$20.00,$40.00,
84,Google,Gemini Diffusion,0.233,,,,
83,OpenAI,GPT-4.1 mini,0.402,,1.0M,$0.40,$1.60,
82,OpenAI,GPT-5.1 Codex Mini,0.421,,400K,$0.25,$2.00,
81,Alibaba Cloud / Qwen Team,Qwen3 VL 8B Instruct,0.459,9B,262K,$0.08,$0.50,
80,OpenAI,GPT-4.1,0.464,,1.0M,$2.00,$8.00,
79,Alibaba Cloud / Qwen Team,Qwen3 VL 4B Instruct,0.466,4B,262K,$0.10,$0.60,
78,NVIDIA,Llama 3.1 Nemotron Nano 8B V1,0.471,8B,,,,
76,Moonshot AI,Kimi K2-Instruct-0905,0.495,1.0T,,,,
76,Moonshot AI,Kimi K2 Instruct,0.495,1.0T,200K,$0.50,$0.50,
74,DeepSeek,DeepSeek-V3.1,0.498,671B,164K,$0.27,$1.00,
74,Google,Gemini 2.5 Flash-Lite,0.498,,1.0M,$0.10,$0.40,
73,Anthropic,Claude 3.7 Sonnet,0.548,,200K,$3.00,$15.00,
72,NVIDIA,Llama-3.3 Nemotron Super 49B v1,0.584,50B,,,,
71,Mistral AI,Magistral Small 2506,0.628,24B,,,,
70,Microsoft,Phi 4 Reasoning,0.629,14B,,,,
69,Mistral AI,Magistral Medium,0.649,24B,,,,
68,Alibaba Cloud / Qwen Team,Qwen3 VL 32B Instruct,0.662,33B,,,,
67,Alibaba Cloud / Qwen Team,Qwen3 VL 30B A3B Instruct,0.693,31B,262K,$0.20,$0.70,
66,Alibaba Cloud / Qwen Team,Qwen3-Next-80B-A3B-Instruct,0.695,80B,66K,$0.15,$1.50,
65,Alibaba Cloud / Qwen Team,Qwen3-235B-A22B-Instruct-2507,0.703,235B,262K,$0.15,$0.80,
64,Anthropic,Claude Sonnet 4,0.705,,200K,$3.00,$15.00,
63,Alibaba Cloud / Qwen Team,Qwen3 30B A3B,0.709,31B,128K,$0.10,$0.44,
62,Google,Gemini 2.5 Flash,0.720,,1.0M,$0.30,$2.50,
60,Mistral AI,Ministral 3 (3B Reasoning 2512),0.721,3B,131K,$0.10,$0.10,
60,NVIDIA,Nemotron Nano 9B v2,0.721,9B,,,,
59,NVIDIA,Llama 3.1 Nemotron Ultra 253B v1,0.725,253B,,,,
58,Alibaba Cloud / Qwen Team,Qwen3 32B,0.729,33B,128K,$0.10,$0.30,
57,Alibaba Cloud / Qwen Team,Qwen3 VL 4B Thinking,0.745,4B,262K,$0.10,$1.00,
56,MiniMax,MiniMax M1 40K,0.746,456B,,,,
55,Alibaba Cloud / Qwen Team,Qwen3 VL 235B A22B Instruct,0.747,236B,262K,$0.30,$1.50,
54,Anthropic,Claude Opus 4,0.755,,200K,$15.00,$75.00,
53,MiniMax,MiniMax M1 80K,0.769,456B,1.0M,$0.55,$2.20,
50,Anthropic,Claude Opus 4.1,0.780,,200K,$15.00,$75.00,
50,MiniMax,MiniMax M2,0.780,230B,1.0M,$0.30,$1.20,
50,Microsoft,Phi 4 Reasoning Plus,0.780,14B,,,,
49,Mistral AI,Ministral 3 (8B Reasoning 2512),0.787,8B,262K,$0.15,$0.15,
48,Alibaba Cloud / Qwen Team,Qwen3 VL 8B Thinking,0.803,9B,262K,$0.18,$2.09,
47,Anthropic,Claude Haiku 4.5,0.807,,200K,$1.00,$5.00,
46,MiniMax,MiniMax M2.1,0.810,,1.0M,$0.30,$1.20,
45,Alibaba Cloud / Qwen Team,Qwen3 235B A22B,0.815,235B,128K,$0.10,$0.10,
44,Alibaba Cloud / Qwen Team,Qwen3 Max,0.816,,256K,$0.50,$5.00,
43,Google,Gemini 2.5 Pro,0.830,,1.0M,$1.25,$10.00,
42,Alibaba Cloud / Qwen Team,Qwen3 VL 30B A3B Thinking,0.831,31B,262K,$0.20,$1.00,
41,Alibaba Cloud / Qwen Team,Qwen3 VL 32B Thinking,0.837,33B,,,,
40,Mistral AI,Ministral 3 (14B Reasoning 2512),0.850,14B,262K,$0.20,$0.20,
39,OpenAI,GPT-5 nano,0.852,,400K,$0.05,$0.40,
38,OpenAI,o3,0.864,,200K,$2.00,$8.00,
37,Anthropic,Claude Sonnet 4.5,0.870,,200K,$3.00,$15.00,
36,DeepSeek,DeepSeek-R1-0528,0.875,671B,131K,$0.50,$2.15,
35,Alibaba Cloud / Qwen Team,Qwen3-Next-80B-A3B-Thinking,0.878,80B,66K,$0.15,$1.50,
34,Google,Gemini 2.5 Pro Preview 06-05,0.880,,1.0M,$1.25,$10.00,
33,OpenAI,GPT-5 Medium,0.889,,400K,$1.25,$10.00,
32,DeepSeek,DeepSeek-V3.2-Exp,0.893,685B,164K,$0.27,$0.41,
31,Alibaba Cloud / Qwen Team,Qwen3 VL 235B A22B Thinking,0.897,236B,262K,$0.45,$3.49,
30,xAI,Grok-3 Mini,0.908,,128K,$0.30,$0.50,
29,OpenAI,GPT-5 mini,0.911,,400K,$0.25,$2.00,
28,xAI,Grok-4,0.917,,256K,$3.00,$15.00,
27,xAI,Grok 4 Fast,0.920,,2.0M,$0.20,$0.50,
26,Alibaba Cloud / Qwen Team,Qwen3-235B-A22B-Thinking-2507,0.923,235B,262K,$0.30,$3.00,
25,OpenAI,GPT OSS 120B High,0.925,117B,131K,$0.10,$0.50,
24,OpenAI,o4-mini,0.927,,200K,$1.10,$4.40,
23,LG AI Research,K-EXAONE-236B-A23B,0.928,236B,33K,$0.60,$1.00,
22,DeepSeek,DeepSeek-V3.2 (Thinking),0.931,685B,131K,$0.28,$0.42,
21,xAI,Grok-3,0.933,,128K,$3.00,$15.00,
20,Zhipu AI,GLM-4.6,0.939,357B,131K,$0.55,$2.19,
17,OpenAI,GPT-5.1 Thinking,0.940,,400K,$1.25,$10.00,
17,OpenAI,GPT-5.1,0.940,,400K,$1.25,$10.00,
17,OpenAI,GPT-5.1 Instant,0.940,,400K,$1.25,$10.00,
16,Xiaomi,MiMo-V2-Flash,0.941,309B,256K,$0.10,$0.30,
14,OpenAI,GPT-5,0.946,,400K,$1.25,$10.00,
14,OpenAI,GPT-5 High,0.946,,400K,$1.25,$10.00,
13,Zhipu AI,GLM-4.7,0.957,358B,205K,$0.60,$2.20,
12,DeepSeek,DeepSeek-V3.2-Speciale,0.960,685B,131K,$0.28,$0.42,
11,OpenAI,GPT-5.1 Codex High,0.967,,400K,$1.25,$10.00,
10,OpenAI,GPT-5.1 Medium,0.984,,400K,$1.25,$10.00,
9,OpenAI,GPT OSS 20B High,0.987,21B,131K,$0.10,$0.50,
8,NVIDIA,Nemotron 3 Nano (30B A3B),0.992,32B,262K,$0.06,$0.24,
7,OpenAI,GPT-5.1 High,0.996,,400K,$1.25,$10.00,
6,Google,Gemini 3 Flash,0.997,,1.0M,$0.50,$3.00,
1,Google,Gemini 3 Pro,1.000,,1.0M,$2.00,$12.00,
1,OpenAI,GPT-5.2,1.000,,400K,$1.75,$14.00,
1,xAI,Grok-4 Heavy,1.000,,,,
1,Moonshot AI,Kimi K2-Thinking-0905,1.000,1.0T,262K,$0.47,$2.00,
1,OpenAI,GPT-5.2 Pro,1.000,,400K,$21.00,$168.00,
