Rank,Provider,Model,Score,Size,Context,Cost_Input,Cost_Output,License
168,Google,Gemma 3 1B,0.192,1B,,,,
166,Google,Gemma 3n E4B Instructed,0.237,8B,32K,$20.00,$40.00,
166,Google,Gemma 3n E4B Instructed LiteRT Preview,0.237,2B,,,,
164,Google,Gemma 3n E2B Instructed,0.248,8B,,,,
164,Google,Gemma 3n E2B Instructed LiteRT (Preview),0.248,2B,,,,
163,Microsoft,Phi 4 Mini,0.252,4B,,,,
162,Alibaba Cloud / Qwen Team,Qwen2 7B Instruct,0.253,8B,,,,
161,Google,Gemini 1.0 Pro,0.279,,33K,$0.50,$1.50,
159,Meta,Llama 3.1 8B Instruct,0.304,8B,131K,$0.03,$0.03,
159,Microsoft,Phi-3.5-mini-instruct,0.304,4B,128K,$0.10,$0.10,
156,OpenAI,GPT-3.5 Turbo,0.308,,16K,$0.50,$1.50,
156,Google,Gemma 3 4B,0.308,4B,131K,$0.02,$0.04,
156,Alibaba Cloud / Qwen Team,Qwen2.5-Omni-7B,0.308,7B,,,,
155,AI21 Labs,Jamba 1.5 Mini,0.323,52B,256K,$0.20,$0.40,
153,Meta,Llama 3.2 3B Instruct,0.328,3B,128K,$0.01,$0.02,
153,Meta,Llama 3.2 11B Instruct,0.328,11B,128K,$0.05,$0.05,
152,Anthropic,Claude 3 Haiku,0.333,,200K,$0.25,$1.25,
151,DeepSeek,DeepSeek R1 Distill Qwen 1.5B,0.338,2B,,,,
150,Mistral AI,Mistral Small 3 24B Base,0.344,24B,,,,
149,OpenAI,GPT-4,0.357,,33K,$30.00,$60.00,
148,xAI,Grok-1.5,0.359,,,,
147,Alibaba Cloud / Qwen Team,Qwen2.5 7B Instruct,0.364,8B,131K,$0.30,$0.30,
146,Microsoft,Phi-3.5-MoE-instruct,0.368,60B,,,,
145,AI21 Labs,Jamba 1.5 Large,0.369,398B,256K,$2.00,$8.00,
144,Mistral AI,Mistral Small 3.1 24B Base,0.375,24B,128K,$0.10,$0.30,
143,Google,Gemini 1.5 Flash 8B,0.384,8B,1.0M,$0.07,$0.30,
142,Amazon,Nova Micro,0.400,,128K,$0.03,$0.14,
141,OpenAI,GPT-4o mini,0.402,,128K,$0.15,$0.60,
139,Anthropic,Claude 3 Sonnet,0.404,,200K,$3.00,$15.00,
139,Google,Gemini Diffusion,0.404,,,,
138,Google,Gemma 3 12B,0.409,12B,131K,$0.05,$0.10,
137,Anthropic,Claude 3.5 Haiku,0.416,,200K,$0.80,$4.00,
136,Meta,Llama 3.1 70B Instruct,0.417,70B,128K,$0.20,$0.20,
135,Amazon,Nova Lite,0.420,,300K,$0.06,$0.24,
133,Google,Gemma 3 27B,0.424,27B,131K,$0.10,$0.20,
133,Alibaba Cloud / Qwen Team,Qwen2 72B Instruct,0.424,72B,,,,
129,Mistral AI,"Mistral Large 3 (675B Instruct 2512)",0.439,675B,262K,$0.50,$1.50,
129,Mistral AI,"Mistral Large 3 (675B Instruct 2512 Eagle)",0.439,675B,,,,
129,Mistral AI,"Mistral Large 3 (675B Instruct 2512 NVFP4)",0.439,675B,,,,
129,Mistral AI,"Mistral Large 3 (675B Base)",0.439,675B,,,,
128,Mistral AI,Mistral Small 3 24B Instruct,0.453,24B,32K,$0.07,$0.14,
127,Alibaba Cloud / Qwen Team,Qwen2.5 14B Instruct,0.455,15B,,,,
126,Mistral AI,Mistral Small 3.1 24B Instruct,0.460,24B,,,,
125,Alibaba Cloud / Qwen Team,Qwen2.5 VL 32B Instruct,0.460,34B,,,,
124,Mistral AI,Mistral Small 3.2 24B Instruct,0.461,24B,,,,
123,Meta,Llama 3.2 90B Instruct,0.467,90B,128K,$0.35,$0.40,
122,Amazon,Nova Pro,0.469,,300K,$0.80,$3.20,
121,Alibaba Cloud / Qwen Team,Qwen3 235B A22B,0.475,235B,128K,$0.10,$0.10,
120,OpenAI,GPT-4 Turbo,0.480,,128K,$10.00,$30.00,
119,Moonshot AI,Kimi K2 Base,0.481,1.0T,,,,
117,DeepSeek,DeepSeek R1 Distill Llama 8B,0.490,8B,,,,
117,Alibaba Cloud / Qwen Team,Qwen2.5 72B Instruct,0.490,73B,131K,$0.35,$0.40,
116,DeepSeek,DeepSeek R1 Distill Qwen 7B,0.491,8B,,,,
115,Alibaba Cloud / Qwen Team,Qwen2.5 32B Instruct,0.495,33B,,,,
114,OpenAI,GPT-4.1 nano,0.503,,1.0M,$0.10,$0.40,
113,Anthropic,Claude 3 Opus,0.504,,200K,$15.00,$75.00,
112,Meta,Llama 3.3 70B Instruct,0.505,70B,128K,$0.20,$0.20,
111,Meta,Llama 3.1 405B Instruct,0.507,405B,128K,$0.89,$0.89,
109,Google,Gemini 1.5 Flash,0.510,,1.0M,$0.15,$0.60,
109,xAI,Grok-2 mini,0.510,,,,
108,Google,Gemini 2.0 Flash-Lite,0.515,,1.0M,$0.07,$0.30,
107,Microsoft,Phi 4 Mini Reasoning,0.520,4B,,,,
106,Mistral AI,Ministral 3 (3B Reasoning 2512),0.534,3B,131K,$0.10,$0.10,
105,OpenAI,GPT-4o,0.536,,128K,$2.50,$10.00,
104,NVIDIA,Llama 3.1 Nemotron Nano 8B V1,0.541,8B,,,,
103,xAI,Grok-2,0.560,,128K,$2.00,$10.00,
102,Microsoft,Phi 4,0.561,15B,16K,$0.07,$0.14,
101,Meta,Llama 4 Scout,0.572,109B,10.0M,$0.08,$0.30,
98,DeepSeek,DeepSeek-V3,0.591,671B,131K,$0.27,$1.10,
98,DeepSeek,DeepSeek R1 Distill Qwen 14B,0.591,15B,,,,
98,Google,Gemini 1.5 Pro,0.591,,2.1M,$2.50,$10.00,
97,Anthropic,Claude 3.5 Sonnet,0.594,,200K,$3.00,$15.00,
96,OpenAI,o1-mini,0.600,,128K,$3.00,$12.00,
95,Alibaba Cloud / Qwen Team,Qwen3 Max,0.620,,256K,$0.50,$5.00,
93,Google,Gemini 2.0 Flash,0.621,,1.0M,$0.10,$0.40,
93,DeepSeek,DeepSeek R1 Distill Qwen 32B,0.621,33B,128K,$0.12,$0.18,
92,NVIDIA,Nemotron Nano 9B v2,0.640,9B,,,,
91,Alibaba Cloud / Qwen Team,Qwen3 VL 4B Thinking,0.641,4B,262K,$0.10,$1.00,
90,Google,Gemini 2.5 Flash-Lite,0.646,,1.0M,$0.10,$0.40,
89,OpenAI,GPT-4.1 mini,0.650,,1.0M,$0.40,$1.60,
86,DeepSeek,DeepSeek R1 Distill Llama 70B,0.652,71B,128K,$0.10,$0.40,
86,Alibaba Cloud / Qwen Team,QwQ-32B,0.652,33B,,,,
86,Alibaba Cloud / Qwen Team,QwQ-32B-Preview,0.652,33B,33K,$0.15,$0.60,
84,Alibaba Cloud / Qwen Team,Qwen3 30B A3B,0.658,31B,128K,$0.10,$0.44,
84,Microsoft,Phi 4 Reasoning,0.658,14B,,,,
83,Nous Research,Hermes 3 70B,0.661,70B,131K,$0.35,$1.40,
82,OpenAI,GPT-4.1,0.663,,1.0M,$2.00,$8.00,
81,NVIDIA,Llama-3.3 Nemotron Super 49B v1,0.667,50B,,,,
80,Mistral AI,Ministral 3 (8B Reasoning 2512),0.668,8B,262K,$0.15,$0.15,
79,Anthropic,Claude 3.5 Sonnet,0.672,,200K,$3.00,$15.00,
78,Mistral AI,Magistral Small 2506,0.682,24B,,,,
77,DeepSeek,DeepSeek-V3 0324,0.684,671B,164K,$0.28,$1.14,
75,Microsoft,Phi 4 Reasoning Plus,0.689,14B,,,,
75,Alibaba Cloud / Qwen Team,Qwen3 VL 32B Instruct,0.689,33B,,,,
74,MiniMax,MiniMax M1 40K,0.692,456B,,,,
73,OpenAI,GPT-4.5,0.695,,128K,$75.00,$150.00,
72,Meta,Llama 4 Maverick,0.698,400B,1.0M,$0.17,$0.60,
71,Alibaba Cloud / Qwen Team,Qwen3 VL 8B Thinking,0.699,9B,262K,$0.18,$2.09,
70,MiniMax,MiniMax M1 80K,0.700,456B,1.0M,$0.55,$2.20,
69,OpenAI,GPT-4o,0.701,,128K,$2.50,$10.00,
68,Alibaba Cloud / Qwen Team,Qwen3 VL 30B A3B Instruct,0.704,31B,262K,$0.20,$0.70,
67,Mistral AI,Magistral Medium,0.708,24B,,,,
65,Mistral AI,Ministral 3 (14B Reasoning 2512),0.712,14B,262K,$0.20,$0.20,
65,OpenAI,GPT-5 nano,0.712,,400K,$0.05,$0.40,
64,OpenAI,GPT OSS 20B,0.715,21B,131K,$0.05,$0.20,
63,Alibaba Cloud / Qwen Team,Qwen3-Next-80B-A3B-Instruct,0.729,80B,66K,$0.15,$1.50,
