display_name,original_name,sophistication,disinhibition,h1_group,Config_Display_Name,Est_Thinking_Effort,effort_ordinal
GPT-3.5 Turbo,GPT-3.5 Turbo,4.010199999999999,1.39295,low,GPT-3.5 Turbo,None,0
GPT-4,GPT-4,4.3831999999999995,1.3461499999999997,low,GPT-4,None,0
Mixtral-8x7B,Mixtral-8x7B,4.530099999999999,1.3611499999999999,low,Mixtral-8x7B,None,0
Mistral-Large-24.02,Mistral-Large-24.02,4.5402000000000005,1.3526999999999998,low,Mistral-Large-24.02,None,0
Claude-3.5-Haiku,Claude-3.5-Haiku,4.613599999999999,1.4044999999999996,low,Claude-3.5-Haiku,None,0
Claude-3-Opus,Claude-3-Opus,4.683000000000002,1.3563,low,Claude-3-Opus,None,0
Claude-3-Haiku,Claude-3-Haiku,4.7032,1.3259499999999997,low,Claude-3-Haiku,None,0
Claude-3.5-Sonnet-v1,Claude-3.5-Sonnet-v1,4.7515,1.3744999999999998,low,Claude-3.5-Sonnet-v1,None,0
Claude-3-Sonnet,Claude-3-Sonnet,4.806600000000001,1.3010499999999998,low,Claude-3-Sonnet,None,0
Claude-3.5-Sonnet-v2,Claude-3.5-Sonnet-v2,4.8665,1.3678499999999998,low,Claude-3.5-Sonnet-v2,None,0
Nova-Premier,Nova-Premier,4.9867,1.3179999999999998,low,Nova-Premier,Low,1
Nova-Lite,Nova-Lite,5.066300000000002,1.3247499999999999,low,Nova-Lite,None,0
Llama-4-Maverick-17B,Llama-4-Maverick-17B,5.0798000000000005,1.3597,low,Llama-4-Maverick-17B,Low,1
Llama-3.2-90B,Llama-3.2-90B,5.083199999999999,1.3833,low,Llama-3.2-90B,Medium-High,3
Llama-3.3-70B,Llama-3.3-70B,5.133699999999999,1.39625,low,Llama-3.3-70B,Medium,2
Llama-3.1-70B,Llama-3.1-70B,5.229600000000001,1.44645,low,Llama-3.1-70B,Medium,2
Nova-Pro,Nova-Pro,5.2866,1.3431,low,Nova-Pro,Low,1
Llama-4-Scout-17B,Llama-4-Scout-17B,5.3339,1.39815,low,Llama-4-Scout-17B,Low,1
Claude-3.7-Sonnet,Claude-3.7-Sonnet,5.3566,1.45105,low,Claude-3.7-Sonnet,Low,1
GPT-4.1,GPT-4.1,5.6035,1.4211499999999997,low,GPT-4.1,Low,1
Claude-4.1-Opus-Thinking,Claude-4.1-Opus-Thinking (Thinking),5.8919,1.6094999999999997,low,Claude-4.1-Opus-Thinking,Very High,5
Claude-4-Opus,Claude-4-Opus,5.924099999999999,1.64765,low,Claude-4-Opus,Low,1
Claude-4-Opus-Thinking,Claude-4-Opus-Thinking (Thinking),5.936599999999999,1.658,high,Claude-4-Opus-Thinking,Very High,5
Claude-4-Sonnet,Claude-4-Sonnet,6.140399999999999,1.6311999999999998,high,Claude-4-Sonnet,Low,1
Claude-4-Sonnet-Thinking,Claude-4-Sonnet-Thinking (Thinking),6.16,1.5827499999999997,high,Claude-4-Sonnet-Thinking,High,4
Gemini-2.0-Flash,Gemini-2.0-Flash,6.189700000000001,1.5531499999999998,high,Gemini-2.0-Flash,Medium,2
DeepSeek-R1,DeepSeek-R1,6.2596,1.6417000000000002,high,DeepSeek-R1,Very High,5
Claude-4.1-Opus,Claude-4.1-Opus,6.3463,1.6328999999999998,high,Claude-4.1-Opus,Low,1
Qwen3-32B,Qwen3-32B,6.380000000000001,1.5899,high,Qwen3-32B,High,4
Grok-3,Grok-3,6.433099999999999,1.61485,high,Grok-3,Very High,5
Claude-4.5-Sonnet-Thinking,Claude-4.5-Sonnet-Thinking (Thinking),6.6202,1.74915,high,Claude-4.5-Sonnet-Thinking,Very High,5
Grok-4-0709,Grok-4-0709,6.633900000000001,1.8648499999999997,high,Grok-4-0709,Very High,5
Claude-4.5-Opus-Global-Thinking,Claude-4.5-Opus-Global-Thinking (Thinking),6.759700000000001,1.6862499999999998,high,Claude-4.5-Opus-Global-Thinking,Maximum,6
Claude-4.5-Sonnet,Claude-4.5-Sonnet,6.770499999999998,1.8265,high,Claude-4.5-Sonnet,Low,1
Claude-4.5-Haiku-Thinking,Claude-4.5-Haiku-Thinking (Thinking),6.836799999999998,1.6398,high,Claude-4.5-Haiku-Thinking,High,4
Claude-4.5-Opus-Global,Claude-4.5-Opus-Global,6.880000000000001,1.7012999999999998,high,Claude-4.5-Opus-Global,Medium,2
Claude-4.5-Haiku,Claude-4.5-Haiku,6.9472000000000005,1.6714499999999999,high,Claude-4.5-Haiku,Low,1
GPT-5,GPT-5,7.033499999999998,1.55625,high,GPT-5,Very High,5
GPT-OSS-120B,GPT-OSS-120B,7.121700000000001,1.4905499999999998,high,GPT-OSS-120B,High,4
O3,O3,7.177099999999999,1.54815,high,O3,Very High,5
GPT-5.2,GPT-5.2,7.256599999999999,1.6314499999999998,high,GPT-5.2,Very High,5
GPT-5.1,GPT-5.1,7.260200000000001,1.6562,high,GPT-5.1,High,4
GPT-5.2 Pro,GPT-5.2 Pro,7.34,1.5495999999999999,high,GPT-5.2 Pro,Maximum,6
Gemini-3-Pro-Preview,Gemini-3-Pro-Preview,7.4968,2.3061999999999996,high,Gemini-3-Pro-Preview,Very High,5
Gemini-2.5-Pro,Gemini-2.5-Pro,7.553599999999999,1.75645,high,Gemini-2.5-Pro,Very High,5
