model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,36,6.369722222222225,6.703333333333335,4.73138888888889,1.2683333333333333,1.4802777777777774,1.6194444444444442,1.0925,6.703333333333333,5.481944444444446,6.09263888888889
grok-4-0709,xAI,High-Sophistication,36,6.832500000000001,6.972499999999999,4.656111111111112,1.712777777777778,1.8144444444444443,2.1391666666666667,1.3055555555555556,6.101666666666668,5.092777777777776,5.597222222222222
claude-4.5-sonnet,Anthropic,High-Sophistication,36,6.249166666666667,6.481111111111111,4.3052777777777775,1.3511111111111112,1.5916666666666661,1.6197222222222216,1.1016666666666666,7.0183333333333335,5.870277777777777,6.444305555555555
gpt-5,OpenAI,High-Sophistication,36,6.073611111111113,6.898888888888888,4.166388888888889,1.2305555555555554,1.4058333333333328,1.7033333333333331,1.138611111111111,7.38888888888889,6.009722222222219,6.699305555555554
llama-3.3-70b,Meta,Low-Sophistication,36,5.546666666666664,7.277777777777778,4.083333333333332,1.1569444444444443,1.2113888888888884,1.628333333333333,1.1016666666666666,4.139444444444444,3.2225,3.680972222222222
deepseek-r1,DeepSeek,High-Sophistication,36,5.471944444444445,7.2213888888888915,4.259166666666667,1.258611111111111,1.4522222222222219,1.6649999999999991,1.0644444444444445,6.018333333333334,4.731666666666669,5.375000000000002
nova-pro,AWS,Low-Sophistication,36,5.481944444444443,6.9719444444444445,4.2683333333333335,1.1294444444444443,1.3038888888888884,1.405555555555555,1.1019444444444444,4.073055555555555,3.186111111111112,3.6295833333333336
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,36,6.212777777777777,7.43416666666667,5.055555555555556,1.1755555555555555,1.2577777777777774,1.5641666666666663,1.0230555555555556,5.20361111111111,3.9269444444444446,4.565277777777777
claude-3.5-haiku,Anthropic,Low-Sophistication,36,5.833333333333334,7.323611111111112,3.5186111111111114,1.138333333333333,1.3227777777777774,1.6013888888888888,1.0183333333333333,4.9350000000000005,3.8888888888888897,4.411944444444445
claude-4.5-haiku,Anthropic,High-Sophistication,36,6.009444444444444,6.389166666666668,4.102500000000001,1.5088888888888887,1.8519444444444442,1.7213888888888889,1.111388888888889,7.444444444444445,6.573611111111111,7.009027777777778
grok-3,xAI,High-Sophistication,36,6.591944444444446,7.110555555555556,4.833055555555557,1.0833333333333333,1.2763888888888884,1.666388888888889,1.046388888888889,5.749722222222224,4.463055555555555,5.1063888888888895
gpt-4,OpenAI,Low-Sophistication,36,5.731111111111112,6.602499999999998,4.990277777777777,1.1566666666666663,1.3499999999999994,1.5538888888888882,1.0833333333333333,4.166388888888889,3.315,3.7406944444444443
llama-4-scout-17b,Meta,Low-Sophistication,36,5.148611111111111,7.213333333333332,4.13,1.1755555555555555,1.2766666666666664,1.4625,1.1388888888888888,4.221388888888888,3.2697222222222226,3.7455555555555553
llama-3.2-90b,Meta,Low-Sophistication,36,5.463333333333334,7.074166666666667,4.57361111111111,1.2027777777777775,1.2849999999999993,1.545833333333333,1.1016666666666666,4.48138888888889,3.499722222222222,3.9905555555555563
claude-4.5-opus-global-thinking_(thinking),Anthropic,High-Sophistication,36,5.454166666666666,5.620277777777779,3.852222222222222,1.3236111111111108,1.592222222222222,1.5463888888888888,1.0836111111111113,6.351944444444445,5.67611111111111,6.014027777777778
nova-premier,AWS,Low-Sophistication,36,5.162222222222223,6.773055555555556,4.245000000000001,1.1569444444444443,1.2949999999999995,1.4152777777777774,1.1111111111111112,4.124722222222222,3.2411111111111115,3.682916666666667
