model,provider,sophistication_group,n_evaluations,warmth,formality,hedging,aggression,transgression,grandiosity,tribalism,depth,authenticity,sophistication
claude-4-sonnet,Anthropic,High-Sophistication,51,4.626862745098041,7.058627450980393,3.60078431372549,4.411372549019608,3.1576470588235295,3.5680392156862752,1.6603921568627453,7.281372549019605,6.862745098039215,7.07205882352941
grok-4-0709,xAI,High-Sophistication,51,5.6005882352941185,6.921176470588237,3.856470588235294,2.2674509803921565,2.0513725490196077,2.673333333333333,1.5356862745098039,6.98156862745098,5.869411764705883,6.425490196078432
claude-4.5-sonnet,Anthropic,High-Sophistication,51,4.333921568627448,6.66627450980392,2.8427450980392153,4.202352941176472,3.8231372549019613,3.587647058823529,1.607843137254902,7.771568627450981,7.35980392156863,7.5656862745098055
gpt-5,OpenAI,High-Sophistication,51,4.424901960784314,7.300392156862745,2.7658823529411767,2.266470588235294,1.953333333333333,2.869019607843138,1.3233333333333333,7.836470588235294,6.476470588235295,7.156470588235294
llama-3.3-70b,Meta,Low-Sophistication,51,4.640196078431373,8.098039215686274,3.607450980392157,1.8494117647058823,1.5217647058823527,2.561764705882353,1.2350980392156863,5.9017647058823535,4.142941176470589,5.022352941176472
deepseek-r1,DeepSeek,High-Sophistication,51,2.647450980392156,7.947450980392158,2.1296078431372547,5.8043137254901955,4.26843137254902,6.300196078431372,2.8815686274509806,7.460392156862747,6.895686274509807,7.178039215686278
nova-pro,AWS,Low-Sophistication,51,4.581372549019609,8.621176470588233,3.516078431372548,1.6988235294117644,1.358039215686274,2.8625490196078434,1.1568627450980393,6.483529411764705,4.346666666666668,5.415098039215686
claude-3.5-sonnet-v1,Anthropic,Low-Sophistication,51,4.940980392156863,8.052352941176471,5.5492156862745095,1.5878431372549018,1.3323529411764703,2.078823529411765,1.006470588235294,5.241960784313725,4.150000000000001,4.695980392156863
claude-3.5-haiku,Anthropic,Low-Sophistication,51,4.92764705882353,7.74607843137255,3.392549019607843,1.5552941176470587,1.5539215686274503,2.366078431372549,1.1241176470588234,5.954509803921569,4.561960784313726,5.258235294117648
claude-4.5-haiku,Anthropic,High-Sophistication,51,4.671960784313728,6.516274509803923,4.313333333333334,5.646862745098041,4.47764705882353,4.176470588235293,1.666470588235294,8.221960784313728,8.332352941176469,8.277156862745098
grok-3,xAI,High-Sophistication,51,4.5943137254901965,8.170392156862745,3.176470588235295,2.515098039215686,1.8823529411764706,4.333333333333334,1.4376470588235293,7.234705882352939,5.5621568627450975,6.398431372549018
gpt-4,OpenAI,Low-Sophistication,51,5.202352941176471,7.888627450980393,4.3537254901960765,1.2350980392156863,1.3125490196078429,1.9343137254901959,1.0913725490196078,5.510196078431372,3.99980392156863,4.755000000000001
llama-4-scout-17b,Meta,Low-Sophistication,51,4.182156862745101,8.10470588235294,4.01313725490196,1.960392156862745,1.5603921568627441,3.241568627450979,1.1374509803921569,5.686078431372549,4.2937254901960795,4.989901960784314
llama-3.2-90b,Meta,Low-Sophistication,51,4.6529411764705895,8.110980392156863,3.5094117647058845,1.8035294117647056,1.6588235294117644,2.9735294117647064,1.17,5.750392156862745,4.136666666666667,4.943529411764706
claude-4.5-opus-global-thinking_(thinking),Anthropic,Low-Sophistication,51,3.2941176470588247,4.914509803921568,3.0921568627450977,2.822745098039215,2.712156862745098,2.6272549019607845,1.3660784313725491,5.129803921568628,4.987450980392156,5.058627450980392
nova-premier,AWS,Low-Sophistication,51,3.7384313725490195,8.42529411764706,2.875686274509805,2.392156862745098,1.5735294117647054,3.104313725490196,1.3005882352941176,5.954117647058824,4.327058823529413,5.140588235294119
nova-lite,AWS,Low-Sophistication,51,4.757450980392159,8.425294117647061,3.5950980392156855,1.5288235294117645,1.3252941176470583,2.69921568627451,1.1305882352941177,5.620588235294118,4.007058823529409,4.8138235294117635
claude-4.5-sonnet-thinking_(thinking),Anthropic,High-Sophistication,51,4.908039215686275,6.307254901960785,3.7058823529411757,4.444313725490197,3.463725490196079,3.385882352941177,1.3660784313725491,7.569019607843137,7.4315686274509805,7.500294117647059
gpt-3.5_turbo,OpenAI,Low-Sophistication,51,5.176274509803922,7.660588235294117,3.9537254901960788,1.378627450980392,1.377058823529411,1.718627450980392,1.189607843137255,4.535490196078431,3.3007843137254915,3.9181372549019615
gpt-5.1,OpenAI,High-Sophistication,51,5.2931372549019615,7.045882352941177,2.9803921568627447,2.267058823529412,2.0845098039215686,2.4964705882352938,1.539019607843137,8.150980392156862,6.869411764705883,7.510196078431372
gpt-5.2,OpenAI,High-Sophistication,51,4.7768627450980405,6.922156862745098,2.908431372549019,2.3521568627450975,2.277254901960784,2.5815686274509804,1.4376470588235293,7.908823529411763,6.7845098039215666,7.346666666666665
gemini-2.0-flash,Google,Low-Sophistication,51,4.489607843137256,6.901960784313726,3.1505882352941166,2.947450980392157,2.1370588235294115,3.058627450980393,1.4050980392156864,6.621176470588232,5.66098039215686,6.141078431372546
llama-4-maverick-17b,Meta,Low-Sophistication,51,4.261176470588235,8.085490196078432,4.117843137254901,1.599803921568627,1.417254901960784,2.3537254901960787,1.150392156862745,6.000588235294116,4.280980392156864,5.14078431372549
gemini-2.5-pro,Google,High-Sophistication,51,3.346470588235295,8.158039215686276,2.058627450980392,4.738823529411764,3.450980392156863,5.901568627450981,2.555490196078431,7.875882352941173,7.255098039215685,7.565490196078429
claude-4.1-opus-thinking_(thinking),Anthropic,High-Sophistication,51,5.196078431372549,6.77470588235294,3.058823529411766,3.124117647058823,2.5488235294117647,2.673333333333333,1.2876470588235294,7.418823529411766,6.522745098039216,6.970784313725491
claude-4.5-opus-global,Anthropic,Low-Sophistication,51,2.8370588235294116,4.7570588235294125,2.889803921568627,2.6198039215686273,2.5558823529411767,2.4376470588235293,1.252352941176471,4.765294117647057,4.639411764705884,4.702352941176471
gpt-oss-120b,OpenAI,High-Sophistication,51,4.70607843137255,8.019803921568629,3.0911764705882354,1.7703921568627448,1.5682352941176472,2.8888235294117632,1.1372549019607843,7.497254901960784,5.836274509803922,6.666764705882353
